SchoolName,EmployedBarPassageRequiredFTLT,EmployedBarPassageRequiredFTST,EmployedBarPassageRequiredPTLT,EmployedBarPassageRequiredPTST,EmployedBarPassageRequiredNumber,EmployedJDAdvantageFTLT,EmployedJDAdvantageFTST,EmployedJDAdvantagePTLT,EmployedJDAdvantagePTST,EmployedJDAdvantageNumber,EmployedProfessionPositionFTLT,EmployedProfessionPositionFTST,EmployedProfessionPositionPTLT,EmployedProfessionPositionPTST,EmployedProfessionPositionNumber,EmployedNonProfessionPositionFTLT,EmployedNonProfessionPositionFTST,EmployedNonProfessionPositionPTLT,EmployedNonProfessionPositionPTST,EmployedNonProfessionPositionNumber,EmployedUndeterminableFTLT,EmployedUndeterminableFTST,EmployedUndeterminablePTLT,EmployedUndeterminablePTST,EmployedUndeterminableNumber,EmployedPursuingGraduateDegreeNumber,UnEmployedStartDateDeferredNumber,UnEmployedNotSeekingNumber,UnEmployedSeekingNumber,EmploymentStatusUnknownNumber,TotalGraduatesNumber,Funded-FTLT,Funded-FTST,Funded-PTLT,Funded-PTST,Funded Position,Solo-FTLT,Solo-FTST,Solo-PTLT,Solo-PTST,Solo,2-10-FTLT,2-10-FTST,2-10-PTLT,2-10-PTST,2-10,11-25-FTLT,11-25-FTST,11-25-PTLT,11-25-PTST,11-25,26-50-FTLT,26-50-FTST,26-50-PTLT,26-50-PTST,26-50,51-100-FTLT,51-100-FTST,51-100-PTLT,51-100-PTST,51-100,101-250-FTLT,101-250-FTST,101-250-PTLT,101-250-PTST,101-250,251-500-FTLT,251-500-FTST,251-500-PTLT,251-500-PTST,251-500,501-FTLT,501-FTST,501-PTLT,501-PTST,501-PLUS,Unknown-FTLT,Unknown-FTST,Unknown-PTLT,Unknown-PTST,Unknown,BusinessIndustry-FTLT,BusinessIndustry-FTST,BusinessIndustry-PTLT,BusinessIndustry-PTST,BusinessIndustry,Government-FTLT,Government-FTST,Government-PTLT,Government-PTST,Government,PublicInterest-FTLT,PublicInterest-FTST,PublicInterest-PTLT,PublicInterest-PTST,PublicInterest,Federal-FTLT,Federal-FTST,Federal-PTLT,Federal-PTST,Federal,StateLocal-FTLT,StateLocal-FTST,StateLocal-PTLT,StateLocal-PTST,StateLocal,Other-FTLT,Other-FTST,Other-PTLT,Other-PTST,Other,Academia-FTLT,Academia-FTST,Academia-PTLT,Academia-PTST,Academia,UnknownEmployerType-FTLT,UnknownEmployerType-FTST,UnknownEmployerType-PTLT,UnknownEmployerType-PTST,UnknownEmployerType Total,Total-FTLT,Total-FTST,Total-PTLT,Total-PTST,Total,FirstLargestEmployment,FirstLargestEmploymentNumber,SecondLargestEmployment,SecondLargestEmploymentNumber,ThirdLargestEmployment,ThirdLargestEmploymentNumber,EmployedInForeignCountries
REGENT UNIVERSITY,62,4,3,2,71,5,4,0,0,9,2,0,0,0,2,0,0,3,0,3,1,0,1,0,4,5,0,3,19,2,118,0,2,0,0,2,6,0,0,1,7,26,0,2,0,28,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,13,4,3,1,21,10,0,0,0,10,4,2,0,0,6,1,0,0,0,1,3,0,0,0,3,0,0,0,0,0,2,2,0,0,4,1,0,1,0,4,70,8,7,2,89,Virginia,40,Texas,6,California,5,0
"RICHMOND, UNIVERSITY OF",99,5,0,2,106,29,2,1,0,32,9,0,1,0,10,4,0,0,0,4,0,0,0,0,0,2,0,3,9,0,166,0,0,0,0,0,2,0,0,0,2,21,0,0,2,23,12,0,0,0,12,3,0,0,0,3,6,0,0,0,6,8,0,0,0,8,3,0,0,0,3,1,0,0,0,1,0,0,0,0,0,41,7,0,0,48,13,0,1,0,14,5,0,0,0,5,6,0,0,0,6,18,0,0,0,18,0,0,0,0,0,1,0,1,0,2,1,0,0,0,1,141,7,2,2,152,Virginia,112,North Carolina,6,District Of Columbia,4,0
ROGER WILLIAMS UNIVERSITY,79,1,1,2,83,11,0,3,0,14,4,0,1,0,5,2,0,3,1,6,0,0,0,0,0,8,0,2,21,19,158,0,0,0,0,0,5,0,0,0,5,22,0,1,1,24,5,0,0,0,5,4,0,0,0,4,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18,0,6,2,26,11,0,0,0,11,12,0,0,0,12,1,0,0,0,1,13,0,0,0,13,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,96,1,8,3,108,Rhode Island,46,Massachusetts,18,New York,10,0
RUTGERS UNIVERSITY-CAMDEN,141,3,2,8,154,17,1,2,5,25,18,0,1,0,19,0,0,0,1,1,0,0,0,0,0,8,0,2,27,6,242,0,1,2,0,3,4,0,0,0,4,24,1,3,6,34,5,0,0,0,5,3,0,0,0,3,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,6,1,0,0,7,0,0,0,0,0,26,1,1,4,32,14,0,0,3,17,5,0,0,0,5,7,0,0,0,7,77,0,0,0,77,0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,176,4,5,14,199,New Jersey,133,Pennsylvania,35,New York,8,0
RUTGERS UNIVERSITY-NEWARK,140,2,1,0,143,16,4,4,1,25,26,2,5,1,34,2,0,0,0,2,1,0,0,0,1,9,0,5,19,10,248,2,1,0,0,3,5,0,2,0,7,15,0,0,0,15,2,0,0,0,2,1,0,0,0,1,8,0,0,0,8,3,0,0,0,3,3,0,0,0,3,10,0,0,0,10,1,1,1,0,3,25,7,2,0,34,21,0,3,1,25,4,0,1,1,6,3,0,0,0,3,77,0,0,0,77,0,0,0,0,0,6,0,1,0,7,1,0,0,0,1,185,8,10,2,205,New Jersey,145,New York,47,District of Columbia,2,2
SAMFORD UNIVERSITY,97,4,5,2,108,12,0,0,1,13,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,6,0,5,9,5,148,0,0,0,0,0,9,0,0,0,9,36,0,4,1,41,8,1,0,0,9,2,0,0,0,2,9,0,0,0,9,8,1,0,1,10,4,0,0,0,4,2,0,0,0,2,0,0,1,0,1,13,2,1,1,17,6,0,0,0,6,4,0,0,0,4,4,0,0,0,4,3,0,0,0,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,110,4,6,3,123,Alabama,85,Georgia,12,Tennessee,9,0
"SAN DIEGO, UNIVERSITY OF",149,15,23,24,211,28,2,3,3,36,8,0,4,1,13,2,0,8,1,11,0,0,0,0,1,3,3,3,34,3,318,1,4,0,11,16,6,0,0,0,6,49,2,15,7,73,7,0,1,0,8,8,1,0,2,11,16,0,0,0,16,5,1,0,0,6,3,0,0,0,3,14,1,0,0,15,2,1,2,5,10,47,3,19,2,71,16,6,0,0,22,3,0,0,8,11,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,2,1,5,10,1,0,0,0,2,187,17,38,29,272,California,231,New York,6,Colorado,5,0
"SAN FRANCISCO, UNIVERSITY OF",76,3,6,26,111,17,5,1,16,39,16,2,1,1,20,2,1,0,0,3,0,0,0,0,0,2,0,8,26,13,222,0,3,0,19,22,2,0,3,0,5,39,0,4,6,49,6,1,0,1,8,2,0,0,1,3,3,0,0,0,3,2,0,0,0,2,1,0,0,0,1,7,0,0,0,7,1,0,0,5,6,33,5,0,7,45,7,2,0,2,11,7,3,0,9,19,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,1,10,12,0,0,0,0,0,111,11,8,43,173,California,157,New York,3,District Of Columbia,2,0
SANTA CLARA UNIVERSITY,127,11,14,3,155,25,5,0,9,39,8,0,2,0,10,2,0,0,3,5,0,0,0,0,7,4,4,47,24,1,296,0,1,0,8,9,6,0,2,0,8,36,3,7,2,48,14,0,1,0,15,6,1,0,0,7,5,0,0,0,5,0,0,0,0,0,4,0,0,0,4,23,0,0,0,23,3,0,1,0,4,38,11,1,13,64,13,1,0,0,14,10,0,1,0,11,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,1,0,2,1,0,2,0,9,162,16,16,15,216,California,181,Texas,3,New York,2,1
SEATTLE UNIVERSITY,127,8,3,4,142,29,11,0,14,54,30,1,1,0,32,1,1,1,3,6,0,0,0,0,0,11,0,7,58,5,315,0,2,0,0,2,8,1,1,0,10,39,3,1,6,49,6,1,0,0,7,8,0,0,0,8,3,0,0,0,3,3,1,0,0,4,2,0,0,0,2,5,0,0,0,5,0,0,0,0,0,46,5,1,8,60,26,5,0,4,35,17,3,2,3,25,3,0,0,0,3,19,0,0,0,19,0,0,0,0,0,2,2,0,0,4,0,0,0,0,0,187,21,5,21,234,Washington,188,California,5,Alaska,4,4
SETON HALL UNIVERSITY,184,7,1,0,192,27,7,6,5,45,8,0,3,0,11,0,0,1,0,1,0,0,0,0,0,4,3,2,20,15,293,0,1,0,0,1,4,0,0,0,4,28,3,1,2,34,11,1,1,0,13,5,0,0,1,6,7,1,0,0,8,6,0,0,0,6,2,0,1,0,3,8,0,0,0,8,9,0,3,0,12,24,4,3,1,32,12,1,1,0,14,3,0,0,0,3,7,0,0,0,7,91,2,0,0,93,0,1,0,0,1,2,0,0,1,3,0,1,1,0,2,219,14,11,5,249,New Jersey,187,New York,34,Unknown,10,1
"SOUTH CAROLINA, UNIVERSITY OF",122,21,5,1,149,10,0,4,0,14,6,2,4,0,12,4,0,1,0,5,0,0,0,0,1,8,0,5,14,14,222,0,0,0,1,1,2,0,0,0,2,27,0,4,0,31,13,1,0,0,14,7,0,0,0,7,1,4,0,0,5,6,1,0,0,7,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,23,15,8,0,46,16,0,1,0,17,4,0,1,0,5,7,0,0,0,7,31,1,0,0,32,0,0,0,0,0,2,1,0,1,4,0,0,0,0,1,142,23,14,1,181,South Carolina,132,North Carolina,18,Florida,4,2
"SOUTH DAKOTA, UNIVERSITY OF",21,3,0,0,24,4,10,0,0,14,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,3,0,2,9,0,55,0,0,0,0,0,2,0,0,0,2,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,8,0,0,0,8,1,0,0,0,1,0,2,0,0,2,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,28,13,0,0,41,South Dakota,30,Idaho,1,Iowa,1,0
SOUTH TEXAS COLLEGE OF LAW,259,7,7,1,274,38,1,4,0,43,25,0,0,1,26,0,0,0,0,0,0,0,0,0,0,7,0,5,25,22,402,0,1,0,0,1,21,0,0,0,21,125,1,4,1,131,31,0,0,0,31,4,0,0,0,4,6,0,0,0,6,4,0,0,0,4,1,0,0,0,1,5,0,0,0,5,0,0,0,0,0,82,5,4,1,92,28,0,1,0,29,6,0,1,0,7,0,0,0,0,0,3,1,0,0,4,0,0,0,0,0,6,1,1,0,8,0,0,0,0,0,322,8,11,2,343,Texas,323,New York,3,Colorado,2,0
"SOUTHERN CALIFORNIA, UNIVERSITY OF",134,13,0,3,150,10,1,0,5,16,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,7,0,4,25,2,207,0,2,0,8,10,2,2,0,0,4,26,2,0,0,28,6,0,0,0,6,6,0,0,0,6,2,0,0,0,2,6,0,0,0,6,15,0,0,0,15,50,1,0,0,51,0,0,0,0,0,12,3,0,0,15,6,5,0,0,11,5,1,0,4,10,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,5,6,0,0,0,0,0,146,14,0,9,169,California,141,New York,9,District Of Columbia,4,2
SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE,66,1,1,0,68,10,0,0,0,10,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,10,15,111,0,1,0,0,1,9,0,1,0,10,34,0,0,0,34,6,0,0,0,6,3,0,0,0,3,2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,8,1,0,0,9,10,0,0,0,10,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,79,2,1,0,82,Illinois,54,Missouri,9,Tennessee,4,1
SOUTHERN METHODIST UNIVERSITY,172,8,5,21,206,17,0,0,3,20,10,0,1,0,11,0,1,1,0,2,0,0,0,0,0,9,1,12,11,0,272,2,4,0,0,6,5,0,0,0,5,54,3,2,5,64,22,2,0,0,24,14,0,0,12,26,8,0,0,0,8,10,0,0,0,10,12,0,0,0,12,16,0,0,0,16,0,0,0,0,0,37,4,5,7,53,10,0,0,0,10,1,0,0,0,1,5,0,0,0,5,1,0,0,0,1,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,199,9,7,24,239,Texas,228,California,3,Oklahoma,2,0
SOUTHERN UNIVERSITY,53,4,1,1,59,18,1,4,1,24,14,0,4,0,18,3,0,5,0,8,0,0,0,0,0,5,0,2,27,0,143,0,0,0,1,1,12,0,0,0,12,19,0,2,1,22,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,13,2,8,0,23,20,1,1,0,22,5,0,1,0,6,1,0,0,0,1,9,2,0,0,11,0,0,0,0,0,5,0,2,1,8,0,0,0,0,0,88,5,14,2,109,Louisiana,84,Mississippi,4,Texas,4,0
SOUTHWESTERN LAW SCHOOL,103,13,10,5,131,53,0,1,2,56,5,2,4,0,11,4,0,5,2,11,0,1,1,0,2,4,0,28,30,25,298,0,0,0,0,0,11,0,1,0,12,51,7,8,2,68,4,1,0,1,6,2,0,0,0,2,0,1,1,0,2,3,0,0,0,3,2,0,0,0,2,4,1,0,0,5,4,0,0,2,6,62,3,7,4,76,9,1,1,0,11,8,0,1,0,9,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,3,1,1,1,0,3,165,16,21,9,211,California,194,District Of Columbia,2,Florida,2,2
ST. JOHN'S UNIVERSITY,132,2,7,23,164,20,7,13,13,53,5,0,2,0,7,2,0,2,0,4,0,0,0,0,6,8,2,4,24,4,276,0,0,0,31,31,3,0,0,0,3,28,1,10,3,42,12,0,2,1,15,13,0,1,0,14,14,0,2,0,16,3,0,0,0,3,3,0,0,0,3,17,0,0,0,17,1,0,0,1,2,26,5,6,2,42,25,1,2,4,32,7,1,1,14,24,2,1,0,2,5,4,0,0,0,4,0,0,0,0,0,1,0,0,9,10,0,0,0,0,2,159,9,24,36,234,New York,209,New Jersey,8,Unknown,3,1
ST. LOUIS UNIVERSITY,144,15,2,11,172,40,2,1,0,43,6,2,3,0,11,2,2,0,1,5,1,0,0,0,1,1,0,18,19,2,272,0,9,0,1,10,2,0,0,0,2,50,1,2,1,54,14,1,0,0,15,5,0,0,0,5,3,0,0,0,3,15,0,0,0,15,5,0,0,1,6,4,0,0,0,4,0,1,0,0,1,43,8,3,6,60,30,3,0,3,36,15,5,0,0,20,0,0,0,0,0,5,2,0,0,7,0,0,0,0,0,2,0,1,1,4,0,0,0,0,0,193,21,6,12,232,Missouri,152,Illinois,40,District Of Columbia,6,0
ST. MARY'S UNIVERSITY,195,1,0,0,196,12,0,0,0,12,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,0,4,19,2,249,0,1,0,0,1,29,0,0,0,29,101,0,0,0,101,4,0,0,0,4,1,0,0,0,1,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,14,0,0,0,14,23,0,0,0,23,24,0,0,0,24,4,1,0,0,5,3,0,0,0,3,6,0,0,0,6,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,219,1,0,0,220,Texas,211,California,4,Arizona,2,0
ST. THOMAS UNIVERSITY,109,16,2,5,132,12,0,0,2,14,4,0,1,0,5,0,0,1,0,1,3,0,0,2,7,5,0,6,40,11,221,2,0,0,0,2,12,0,0,0,12,43,12,1,2,58,10,1,0,0,11,2,0,0,0,2,5,0,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,15,3,0,3,21,11,0,2,2,16,16,0,0,0,16,5,0,1,0,6,0,0,0,0,0,1,0,0,0,1,3,0,0,0,3,2,0,0,0,2,1,0,0,2,4,128,16,4,9,159,Florida,132,New York,4,Georgia,3,2
STANFORD UNIVERSITY,175,2,0,0,177,9,0,0,0,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,192,3,0,0,0,3,0,0,0,0,0,2,0,0,0,2,1,1,0,0,2,1,0,0,0,1,1,0,0,0,1,12,0,0,0,12,7,0,0,0,7,76,0,0,0,76,0,0,0,0,0,7,1,0,0,8,8,0,0,0,8,18,0,0,0,18,45,0,0,0,45,3,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,185,2,0,0,187,California,77,New York,30,District Of Columbia,29,2
STATE UNIVERSITY OF NEW YORK AT BUFFALO,127,13,6,5,151,18,2,0,1,21,5,1,1,1,8,6,0,0,2,8,0,0,0,0,0,7,0,9,20,21,245,0,0,0,0,0,7,0,1,0,8,46,4,3,1,54,9,1,0,0,10,1,0,0,0,1,8,0,0,1,9,3,0,0,0,3,8,0,0,0,8,1,0,0,0,1,4,0,1,0,5,31,4,1,1,37,20,0,1,2,23,6,2,0,2,10,1,0,0,0,1,2,3,0,0,5,0,0,0,0,0,2,2,0,1,5,5,0,0,1,6,154,16,7,9,186,New York,143,District of Columbia,7,Massachusetts,3,3
STETSON UNIVERSITY,184,0,4,2,190,27,0,2,0,29,18,2,3,0,23,3,0,0,0,3,1,0,2,0,3,13,0,6,43,12,322,2,0,0,0,2,12,0,0,0,12,53,0,0,1,54,13,0,0,0,13,10,0,0,0,10,5,0,0,0,5,8,0,0,0,8,2,0,0,0,2,2,0,0,0,2,19,0,2,0,21,26,0,2,0,28,41,0,1,0,42,18,1,0,0,19,2,0,0,0,2,10,0,0,1,11,0,0,0,0,0,4,1,1,0,6,8,0,5,0,13,233,2,11,2,248,Florida,208,Georgia,7,District Of Columbia,3,0
